Unique ID,Post,Labels Set
5671,"RT @ReshmaHindusta1: सुना है..?🤔

टमाटर देशद्रोही हो गए है,
मोड़ी जी की उम्र को पार कर गए हैं,""🤣",hate
5370,"माफिया डॉन अतीक अहमद के बाहुबली छोटे भाई असरफ के साले  जैद के आलिशान बंगले को मिटटी में मिला दिया 

बाबा जी के प्रकोप से कोई गुंडा मवाली नहीं बचने वाला https://t.co/WOjb0InNl5","defamation,fake,offensive"
2112,#Watch : DRDO को बड़ी कामयाबी: देश ने रक्षा अनुसंधान के क्षेत्र में आज एक बड़ी कामयाबी हासिल करते हुए हाइपरसोनिक टेक्नॉलजी डेमोनस्ट्रेटर वीइकल (HSTDV) का सफल परीक्षण किया https://t.co/Dn7a7NG6Tk,non-hostile
932,"#Ballia युवक को दिनदहाड़े पत्नी के सामने गोली मारकर मौत के घाट उतारा, गोली चलने से इलाके में मचा हड़कंप, पुलिस ने शव पोस्टमार्टम के लिए भेजा, हल्दी थाने के जवाही दियार का मामला। @balliapolice @Uppolice #policemedianews",non-hostile
5228,कोरोना महामारी के कारण 17 मई 2020 तक लॉकडाउन की वजह से मोबाइल कंपनियों नें सभी मोबाइल यूजर्स को फ्री इन्टरनेट देने का ऐलान किया है|,fake
941,"पैंगोंग में भारत के एक्शन से चीन के उड़े होश, 24 घंटे में जारी किए 5 बयान 
 https://t.co/KRLWFI0tSV via @NavbharatTimes  

#IndiaChinaFaceOff",non-hostile
322,"ये दिन देखने से पहले मुझे मौत क्यों नही आ गई |क्या अब ये छोटे छोटे भाजपाई बच्चे भी राहुल सर को ज़लील करेंगे।

",fake
3543,"जीडीपी में 2020-21 में 10% की आएगी गिरावट, जानिए क्या कह रहे हैं विशेषज्ञ
https://t.co/PuavUYtD77 via @NavbharatTimes 
#GDP #Economy https://t.co/b6VtDr2Drb",non-hostile
2185,"₹700 मिल रहा है सुनकर शाहीन बाग से भी कुछ महिलाएं बेगूसराय के लिए निकल रहे हैं। यहां तो सिर्फ ₹500 मिल रहा है। 
आपस में मिलकर एक रेट फिक्स कर लो, वरना छोटे-छोटे बच्चों को साथ लेकर महिलाएं कितना इधर-उधर करेंगे? उनके बारे में भी थोड़ा सोचो।",offensive
1551,कमीनी औरत ये लेहरू नहीं है।ये चीन को और तेरे जैसे कमीनी को जहां से निकलीं है वहीं.... https://t.co/ZdDp7AXxzH,offensive
319,"आरोप है कि एक फ्रॉड ने व्यक्ति से तीन बार वन टाइम पासवर्ड (ओटीपी) लिया और अकाउंट से 1.61 लाख गायब हो गए. 

https://t.co/nf5i0c5gWw",non-hostile
5115,"""कंगना राणावत बाईसा  भाजपा का प्रचार करेंगी बिहार में"" अब सब नाटक समझ आ ही गया होगा....? फिर भी क्या बिहार विधानसभा के आगामी आम चुनाव में भाजपा का एनङीऐ चुनाव हार गया तब भी मोदी और शाह कंगना रनौत को वाई श्रेणी की सुरक्षा यथावत बनाये रखेगी ??","defamation,offensive"
698,"यह असम के डिटेंशन सेंटर का कच्चा चिट्ठा है क्या हिंदू क्या मुसलमान क्या सिख इसाई सब को जेल में ठूंसा जाएगा
जो लोग घर में आराम फरमा रहे हैं कल उनके बीवी बच्चे जेलों में सड़ रहे होंगे!
http://Sc.st.obc व मुस्लिम भाई सभी एक हो जाओ","hate,offensive"
205,"मथुरा जेल से रिहा होते ही डॉ. कफील खान बोले- STF का शुक्रिया, जिन्होंने एनकाउंटर नहीं किया

https://t.co/EWvoApnCUh",non-hostile
1396,"देश भर के #JEE-#NEET के छात्रों को बिहार चुनाव में #भाजपा का बहिष्कार करने का एलान करना चाहिए,

देखिए फिर कैसे Exam स्थगित होता है

#INDIAunitedtoPostponeJEE_NEET",hate
677,@SonuSood अब हर कोई तो सोनू सुद जैसा नायक बन नहीं सकता ऐसी प्रतिभा ऐसी विलक्षण शक्ति ईश्वर कई सौ करोड़ों मनुष्य में किसी एक को देता है आप जैसा होना असम्भव नहीं परन्तु बहुत कठीन है एक देशी कहावत है सब कुतीया गया चली जायेंगी तो पत्तल कौन चाटेगा बस वही यहां की जनता भी है,offensive
2516,"फरीदाबाद पुलिस ने शहर के एक ओयो होटल में चल रहे कैसीनो का पर्दाफाश किया।
#Faridabad 

https://t.co/Vy1FQZA3hG",non-hostile
288,"वीडियो: रूस में महिला के मुंह से निकाला गया सांप; गार्डन में सोते वक्त मुंह से पेट में घुस गया था 4 फीट का सांप, डॉक्टरों ने बेहोश कर ट्यूब की मदद से बाहर निकाला https://t.co/nnV7NiSWXM #Russia #Snake",non-hostile
